0,1,2,3,4,5,6,7,8,9,10
1 + 1,90,80,1,1,Merkezi (Pay Ölçer),5,Eşyalı,Boş,Beşiktaş,"18,000"
2 + 1,90,85,2,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Bakırköy,"14,000"
1 + 1,65,60,Kot 1,Sıfır Bina,Kombi,3,Eşyalı,Boş,Şişli,"7,000"
1 + 1,65,60,5,5,Kombi,19,Eşyalı Değil,Boş,Esenyurt,"4,000"
1 + 0,40,35,Yüksek Giriş,4,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"11,000"
2 + 1,150,85,Giriş Katı,1,Merkezi (Pay Ölçer),4,Eşyalı Değil,Boş,Sarıyer,"25,000"
2 + 1,75,70,Giriş Katı,30,Kombi,3,Eşyalı Değil,Boş,Bahçelievler,"7,000"
2 + 1,90,70,Yüksek Giriş,21,Kombi,4,Uygun değil,Boş,Beylikdüzü,"5,500"
1 + 1,75,60,8,8,Merkezi (Pay Ölçer),22,Eşyalı Değil,22.000,Bağcılar,"11,000"
2 + 1,110,100,4,20,Merkezi (Pay Ölçer),10,Eşyalı,1.000,Sarıyer,"30,000"
1 + 1,55,50,1,Sıfır Bina,Kombi,7,Eşyalı,Boş,Şişli,"17,000"
3 + 1,80,70,Kot 1,2,Kombi,5,Eşyalı,Boş,Eyüpsultan,"12,000"
2 + 1,70,60,3,50,Kombi,3,Eşyalı,Boş,Şişli,"9,000"
3 + 1,130,125,2,15,Kombi,5,Eşyalı Değil,Boş,Şişli,"15,000"
3 + 1,156,120,3,6,Merkezi (Pay Ölçer),26,Eşyalı,Evet,Bağcılar,"22,000"
3 + 1,110,100,1,34,Kombi,5,1,25,Bahçelievler,"7,500"
2 + 1,100,95,3,30,Kombi,5,Eşyalı,Boş,Şişli,"15,000"
3 + 1,150,135,7,5,Kombi,7,Eşyalı Değil,Boş,Kağıthane,"12,000"
3 + 1,154,112,4,26,Merkezi,5,Eşyalı Değil,Boş,Başakşehir,"12,000"
